% Model:              Micro_3DArray_v2.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jan 30 2025, 12:40
% Dimension:          3
% Nodes:              501
% Expressions:        5
% Description:        Electric field, x-component, Electric field, y-component, Electric field, z-component, Electric potential, 
% Length unit:        m
% x                       y                        z                        ec.Ex (V/m)              ec.Ey (V/m)              ec.Ez (V/m)              V (V)                    d(ec.Ex,x) (V/m^2)
9.2E-5                    1.18E-4                  8.099999999999999E-5     10.877648603350735       24.469619929204327       12.257759658121586       0.004146486445382372     -1199832.1672465801
9.3E-5                    1.18E-4                  8.099999999999999E-5     10.09235127377613        23.220840364494336       13.879063754334311       0.0041361732702521236    -230649.87891488514
9.4E-5                    1.18E-4                  8.099999999999999E-5     9.805843043452342        21.955643019020044       15.707217615699392       0.004126201633903606     -433126.0096037388
9.499999999999999E-5      1.18E-4                  8.099999999999999E-5     10.210634303444266       20.28987258315567        16.229139616039674       0.004116271876204079     1273779.0296550542
9.6E-5                    1.18E-4                  8.099999999999999E-5     11.488247207139217       18.910179586015488       17.119990109572882       0.004105365303738928     905861.6624500821
9.7E-5                    1.18E-4                  8.099999999999999E-5     13.15826312250249        16.67409448959981        17.127777183015723       0.004093291647183753     3350797.390593052
9.8E-5                    1.18E-4                  8.099999999999999E-5     16.03671387989391        15.779323411094907       18.055336667981464       0.004078678137397056     2910463.6407604218
9.9E-5                    1.18E-4                  8.099999999999999E-5     18.401551745460864       15.87503325339219        18.77191997512054        0.004061445997757116     2371000.778020188
9.999999999999999E-5      1.18E-4                  8.099999999999999E-5     21.776990963575827       16.369861799770888       19.14752999409791        0.004041197949171233     1912401.5593070984
1.01E-4                   1.18E-4                  8.099999999999999E-5     24.152863301834174       17.943762158715632       19.024241388578375       0.004018514266641986     3002818.3450746536
1.02E-4                   1.18E-4                  8.099999999999999E-5     24.98437449440769        20.244206764388835       19.230457246469825       0.003993645294038449     316049.31205940247
1.03E-4                   1.18E-4                  8.099999999999999E-5     24.658668919730417       22.03975034146697        19.675493874396125       0.003968748932421008     659652.4687232375
1.04E-4                   1.18E-4                  8.099999999999999E-5     24.456067770783392       24.37624349878689        20.185018086701916       0.003943787647747535     -236434.1743196845
1.0499999999999999E-4     1.18E-4                  8.099999999999999E-5     24.219633596463098       25.429877610821677       20.523000026236218       0.003919449797063912     -236434.1743196845
1.06E-4                   1.18E-4                  8.099999999999999E-5     23.680417655605197       25.828551798835804       21.04622834442472        0.0038954523199826838    514024.2355365753
1.07E-4                   1.18E-4                  8.099999999999999E-5     24.2662080777934         25.819792639802223       20.915795591187877       0.003871502896094376     94315.02210235596
1.08E-4                   1.18E-4                  8.099999999999999E-5     24.69671493985072        25.29045792315776        20.691428000583024       0.0038471411258322982    1156912.2413282394
1.0899999999999999E-4     1.18E-4                  8.099999999999999E-5     26.297868528302537       24.66684805727425        19.69731162716414        0.003821548317688317     868190.6846525222
1.0999999999999999E-4     1.18E-4                  8.099999999999999E-5     27.166059212954885       24.373707870479166       17.685466495878728       0.003794816353817689     868190.6846525222
1.11E-4                   1.18E-4                  8.099999999999999E-5     27.80325756338584        23.734692259009677       13.896200639442213       0.0037668246664990085    -363169.1372332573
1.12E-4                   1.18E-4                  8.099999999999999E-5     26.586565393987257       23.16558668586704        10.080071802080624       0.003739553852445433     -1515311.7253160477
1.13E-4                   1.18E-4                  8.099999999999999E-5     24.126364919835737       22.177780412896677       7.353633153727294        0.0037138803111797453    -4388523.331989288
1.1399999999999999E-4     1.18E-4                  8.099999999999999E-5     20.302187607359997       21.804526349179014       5.78699443885364         0.0036918550157051698    -3089764.826047182
1.1499999999999999E-4     1.18E-4                  8.099999999999999E-5     16.69282072308642        20.404746662340173       6.222237182575448        0.0036736016933053947    -2625220.574523449
1.16E-4                   1.18E-4                  8.099999999999999E-5     13.924744206909764       19.482454831442194       7.111202781769535        0.0036582484535506547    -3003504.5533185005
1.17E-4                   1.18E-4                  8.099999999999999E-5     12.113656147333813       18.593895756016437       8.605031361650049        0.0036454435468656838    -1257584.7607851028
1.18E-4                   1.18E-4                  8.099999999999999E-5     11.567316117344426       17.497163199555434       9.985685735592256        0.0036335176831253867    -425845.1041933559
1.1899999999999999E-4     1.18E-4                  8.099999999999999E-5     11.174800062239854       16.261179845804634       11.179921700463467       0.0036221834169171915    129148.95003323257
